feature,importance
categorical__industry_description_ Refuse collection services,0.00029755533440758416
"categorical__industry_description_Warehousing and storage, general merchandise",0.0002971415119142303
"categorical__industry_description_ Hotel management services (i.e., providing management and operating staff to run hotel)",0.0002930020858727366
categorical__industry_description_Commercial building construction general contractors,0.00029153831957658
categorical__industry_description_Convalescent homes or convalescent hospitals (except psychiatric),0.00028303490078736797
categorical__state_NE,0.00027958891131360573
"categorical__industry_description_ Motor freight carrier, general, local",0.00027835970774329447
categorical__industry_description_ Assisted-living facilities with on-site nursing facilities,0.0002773757804219253
categorical__industry_description_Assisted-living facilities without on-site nursing care facilities,0.0002770536451928056
"categorical__industry_description_Caisson (i.e., drilled building foundations) construction",0.00027676498386711975
categorical__industry_description_ Distribution of electric power,0.0002760917761370295
categorical__industry_description_WHOLESALE TIRE DISTRIBUTION,0.00027490842866222825
"categorical__industry_description_ Pumping station, water and sewage system, construction",0.00026161867706309756
categorical__industry_description_ Air ambulance services,0.0002592510158658621
"categorical__industry_description_ Heating, ventilation and air-conditioning (HVAC) contractors",0.0002578387636970502
categorical__industry_description_ Janitorial services,0.0002557406586666607
categorical__industry_description_Wired Telecommunications Carriers,0.00025443068357178423
"categorical__industry_description_Supermarket, Retail",0.0002500536883628504
categorical__industry_description_Other Building Materials Dealers,0.00024936158270830975
categorical__industry_description_Low voltage electrical work,0.00024717408420769774
"categorical__industry_description_ Intellectual and developmental disability facilities (e.g., homes, hospitals, intermediate care facilities), residential",0.00024065115524533046
categorical__state_ID,0.0002390152553729842
"categorical__industry_description_Property managing, residential real estate",0.00023836868753103358
"categorical__industry_description_ Building cleaning services, janitorial",0.0002377916465782044
categorical__industry_description_Transportation,0.0002325050447378209
"categorical__industry_description_ Boxes, corrugated and solid fiber, made from purchased paper or paperboard",0.00023240529054231992
categorical__industry_description_Powder metallurgy products manufactured on a job or order basis,0.00023103105887006334
"categorical__industry_description_ Tree and brush trimming, overhead utility line",0.00023062418686366687
categorical__industry_description_Assisted Living,0.00021931701449679562
categorical__industry_description_Carpets and rugs made from textile materials,0.00021837604624355122
categorical__industry_description_ Street construction,0.00021696928140764544
categorical__industry_description_Industrial Supplies Merchant Wholesalers,0.0002166420176026716
categorical__industry_description_Structural Pest Control,0.0002159802099888619
categorical__industry_description_underground utility locating,0.00021094406178798642
categorical__industry_description_Medical Transport,0.00020383153110415365
categorical__industry_description_New Car Dealers,0.00020115167124742085
"categorical__industry_description_General freight trucking, local",0.0001983444143500603
categorical__industry_description_Continuing care retirement communities,0.00019484796770685264
categorical__industry_description_TRANSPORTATION,0.00019394055370863878
"categorical__industry_description_ Electric power generation, fossil fuel (e.g., coal, oil, gas)",0.00019148202974031794
categorical__industry_description_Oil pipeline construction,0.00018318775986105675
categorical__industry_description_Janitorial services,0.00017168504282672053
"categorical__industry_description_ Hotels, resort, without casinos",0.00016938059849501744
categorical__industry_description_ Pollock fishing,0.00016656710502260447
categorical__industry_description_Machine shops,0.00016256105071302325
categorical__industry_description_Homefurnishings stores,0.0001593441468867271
categorical__industry_description_ Building lot subdividing,0.0001532374264211785
categorical__industry_description_Electrical contractors,0.0001526138427877194
categorical__industry_description_Department Stores,0.00015045618900740452
