annual_average_employees,total_hours_worked,naics_code,industry_description,establishment_type,size,state,fatal_incident,source
26,53592.0,238220,mechanicalcontractors,1.0,2,AR,0,OSHA_ITA_2016
171,310449.0,423850,serviceestablishmentequipmentsuppliesmerchantwholesalers,1.0,2,MN,0,OSHA_ITA_2016
307,836051.0,321113,customsawmills,1.0,3,GA,0,OSHA_ITA_2016
357,815762.0,621493,freestandingambulatorysurgicalcentersclinics,1.0,3,OH,0,OSHA_ITA_2016
18,32220.0,321920,boxeswoodmanufacturing,1.0,2,MA,0,OSHA_ITA_2016
200,310933.0,623110,skillednursingfacilities,1.0,2,LA,0,OSHA_ITA_2016
20,29412.0,321113,customsawmills,1.0,2,WI,0,OSHA_ITA_2016
200,323521.0,721110,hotelsresortcasinos,1.0,2,CT,0,OSHA_ITA_2016
28,60964.0,115115,agricultureproductionharvestingcrews,1.0,2,OH,0,OSHA_ITA_2016
6,12480.0,811121,automotivebodyshops,1.0,1,MO,0,OSHA_ITA_2016
203,485462.0,236210,constructionmanagementindustrialbuildingexceptwarehouses,1.0,2,OH,0,OSHA_ITA_2016
431,1106376.0,562111,garbagecollectionservices,1.0,3,VA,0,OSHA_ITA_2016
44,125840.0,333922,beltconveyorsystemsmanufacturing,1.0,2,MI,0,OSHA_ITA_2016
34,75805.0,236210,constructionmanagementindustrialbuildingexceptwarehouses,1.0,2,VA,0,OSHA_ITA_2016
32,58352.0,325510,plastisolcoatingcompoundsmanufacturing,1.0,2,OH,0,OSHA_ITA_2016
180,193183.0,561720,buildingcleaningservicesjanitorial,1.0,2,TN,0,OSHA_ITA_2016
412,935975.0,621493,freestandingambulatorysurgicalcentersclinics,1.0,3,TN,0,OSHA_ITA_2016
35,52664.0,811310,electricmotorrepairmaintenanceservicescommercialindustrial,1.0,2,MA,0,OSHA_ITA_2016
100,197234.0,323120,printingpostpressservicesegbevelingbronzingfoldinggluingedgingfoilstampingprintedproductsegbookscardspaper,1.0,2,WI,0,OSHA_ITA_2016
59,117658.0,237110,watersystemstoragetanktowerconstruction,1.0,2,SD,0,OSHA_ITA_2016
26,74360.0,333922,beltconveyorsystemsmanufacturing,1.0,2,MI,0,OSHA_ITA_2016
44,86555.0,325180,tincompoundsnotspecifiedelsewhereprocessmanufacturing,1.0,2,PA,0,OSHA_ITA_2016
140,214866.0,623110,nursinghomes,Operating,2,LA,0,OSHA_ITA_2016
140,253746.0,236220,constructionmanagementcommercialinstitutionalbuilding,1.0,2,OH,0,OSHA_ITA_2016
12,22654.0,238990,fenceinstallationexceptelectroniccontainmentfencingpets,1.0,1,NC,0,OSHA_ITA_2016
65,130518.0,332420,watertanksheavygaugemetalmanufacturing,1.0,2,SD,0,OSHA_ITA_2016
363,942864.0,621493,freestandingambulatorysurgicalcentersclinics,1.0,3,TN,0,OSHA_ITA_2016
50,119776.0,238110,footingfoundationconcretecontractors,1.0,2,WI,0,OSHA_ITA_2016
40,73240.0,561710,exterminatingservices,1.0,2,OH,0,OSHA_ITA_2016
33,60172.0,332993,grenadeshandprojectilemanufacturing,1.0,2,PA,0,OSHA_ITA_2016
150,423800.0,493110,generalwarehousingstorage,1.0,2,IL,1,OSHA_ITA_2016
23,121123.0,321113,customsawmills,1.0,2,GA,0,OSHA_ITA_2016
158,266187.0,721110,hotelsexceptcasinohotels,1.0,2,KY,0,OSHA_ITA_2016
65,121991.0,327390,concreteproductsprecastexceptblockbrickpipemanufacturing,1.0,2,NH,0,OSHA_ITA_2016
111,195644.0,721110,hotelsexceptcasinohotels,1.0,2,KY,0,OSHA_ITA_2016
394,931630.0,484110,transfertruckingservicesgeneralfreightlocal,1.0,3,PA,0,OSHA_ITA_2016
60,124437.0,325211,phenolformaldehyderesinsmanufacturing,1.0,2,IL,0,OSHA_ITA_2016
40,103464.0,238110,footingfoundationconcretecontractors,1.0,2,IA,0,OSHA_ITA_2016
111,201469.0,721110,hotelsexceptcasinohotels,1.0,2,KY,0,OSHA_ITA_2016
22,57386.0,518210,dataprocessingservicesexceptpayrollservicesfinancialtransactionprocessingservices,1.0,2,AZ,0,OSHA_ITA_2016
112,263155.0,518210,dataprocessingservicesexceptpayrollservicesfinancialtransactionprocessingservices,1.0,2,AL,0,OSHA_ITA_2016
33,73080.0,321211,hardwoodveneerplywoodmanufacturing,1.0,2,GA,0,OSHA_ITA_2016
122,294953.0,237990,marineconstruction,1.0,2,TN,0,OSHA_ITA_2016
286,575877.0,327215,aquariumsmadepurchasedglass,1.0,3,WI,0,OSHA_ITA_2016
23,34160.0,624310,workexperiencecenterseshelteredworkshops,1.0,2,KY,0,OSHA_ITA_2016
108,263815.0,313310,fabricfinishing,1.0,2,NJ,0,OSHA_ITA_2016
8,25375.0,115111,cottonginning,1.0,1,AR,0,OSHA_ITA_2016
25,54029.0,236115,condominiumsinglefamilyconstructiongeneralcontractors,1.0,2,NH,0,OSHA_ITA_2016
273,527051.0,313210,textilemillsbroadwovenfabrics,1.0,3,NC,0,OSHA_ITA_2016
113,209298.0,721110,hotelsexceptcasinohotels,1.0,2,KY,0,OSHA_ITA_2016
140,293320.0,321991,manufacturedmobilehomesmanufacturing,1.0,2,OH,0,OSHA_ITA_2016
4,6238.0,238990,chainlinkfenceinstallation,1.0,1,SC,0,OSHA_ITA_2016
73,144195.0,721110,hotelsexceptcasinohotels,1.0,2,KY,0,OSHA_ITA_2016
141,258605.0,325920,explosivesmanufacturing,1.0,2,SD,0,OSHA_ITA_2016
85,174712.0,335311,transformerselectricpowermanufacturing,1.0,2,AR,0,OSHA_ITA_2016
149,230207.0,623110,nursinghomes,1.0,2,FL,0,OSHA_ITA_2016
95,17788829.0,238220,hvacheatingventilationairconditioningcontractors,1.0,2,GA,0,OSHA_ITA_2016
40,39882.0,238350,carpentryworkexceptframing,1.0,2,TX,0,OSHA_ITA_2016
40,84490.0,237310,pavementhighwayroadstreetbridgeairportrunwayconstruction,1.0,2,OH,0,OSHA_ITA_2016
52,106235.0,423930,recycledmaterialmerchantwholesalers,1.0,2,OK,0,OSHA_ITA_2016
50,113374.0,423930,recycledmaterialmerchantwholesalers,1.0,2,TX,0,OSHA_ITA_2016
9,20728.0,423930,recycledmaterialmerchantwholesalers,1.0,1,KS,0,OSHA_ITA_2016
70,170111.0,423930,recycledmaterialmerchantwholesalers,1.0,2,MN,0,OSHA_ITA_2016
77,174807.0,423930,recycledmaterialmerchantwholesalers,1.0,2,MO,0,OSHA_ITA_2016
24,55350.0,423930,recycledmaterialmerchantwholesalers,1.0,2,IL,0,OSHA_ITA_2016
14,24088.0,522110,Oil and Gas Extraction,Operating,1,OH,0,OSHA_ITA_2016
13,24420.0,522110,Oil and Gas Extraction,Operating,1,KY,0,OSHA_ITA_2016
5,7443.0,522110,Oil and Gas Extraction,Operating,1,OH,0,OSHA_ITA_2016
9,15592.0,522110,Oil and Gas Extraction,Operating,1,OH,0,OSHA_ITA_2016
3,5463.0,522110,Oil and Gas Extraction,Operating,1,OH,0,OSHA_ITA_2016
5,8445.0,522110,Oil and Gas Extraction,Operating,1,OH,0,OSHA_ITA_2016
17,33052.0,522110,Oil and Gas Extraction,Operating,1,OH,0,OSHA_ITA_2016
8,15157.0,522110,Oil and Gas Extraction,Operating,1,OH,0,OSHA_ITA_2016
3,6651.0,522110,Oil and Gas Extraction,Operating,1,OH,0,OSHA_ITA_2016
6,10775.0,522110,Oil and Gas Extraction,Operating,1,OH,0,OSHA_ITA_2016
6,9905.0,522110,Oil and Gas Extraction,Operating,1,OH,0,OSHA_ITA_2016
10,17487.0,522110,Oil and Gas Extraction,Operating,1,OH,0,OSHA_ITA_2016
9,17715.0,522110,Oil and Gas Extraction,Operating,1,OH,0,OSHA_ITA_2016
35,66029.0,522110,Oil and Gas Extraction,Operating,2,OH,0,OSHA_ITA_2016
6,11463.0,522110,Oil and Gas Extraction,Operating,1,OH,0,OSHA_ITA_2016
6,11952.0,522110,Oil and Gas Extraction,Operating,1,OH,0,OSHA_ITA_2016
1,2080.0,522110,Oil and Gas Extraction,Operating,1,WV,0,OSHA_ITA_2016
1,693.0,522110,Oil and Gas Extraction,Operating,1,OH,0,OSHA_ITA_2016
17,31087.0,522110,Oil and Gas Extraction,Operating,1,OH,0,OSHA_ITA_2016
5,9537.0,522110,Oil and Gas Extraction,Operating,1,OH,0,OSHA_ITA_2016
11,20957.0,522110,Oil and Gas Extraction,Operating,1,WV,0,OSHA_ITA_2016
5,9178.0,522110,Oil and Gas Extraction,Operating,1,OH,0,OSHA_ITA_2016
8,15020.0,522110,Oil and Gas Extraction,Operating,1,WV,0,OSHA_ITA_2016
6,10483.0,522110,Oil and Gas Extraction,Operating,1,OH,0,OSHA_ITA_2016
6,10619.0,522110,Oil and Gas Extraction,Operating,1,OH,0,OSHA_ITA_2016
7,13653.0,522110,Oil and Gas Extraction,Operating,1,OH,0,OSHA_ITA_2016
6,9968.0,522110,Oil and Gas Extraction,Operating,1,KY,0,OSHA_ITA_2016
4,9196.0,522110,Oil and Gas Extraction,Operating,1,OH,0,OSHA_ITA_2016
7,13604.0,522110,Oil and Gas Extraction,Operating,1,OH,0,OSHA_ITA_2016
16,30340.0,522110,Oil and Gas Extraction,Operating,1,WV,0,OSHA_ITA_2016
5,7548.0,522110,Oil and Gas Extraction,Operating,1,WV,0,OSHA_ITA_2016
8,15091.0,524210,Oil and Gas Extraction,Operating,1,OH,0,OSHA_ITA_2016
8,12439.0,522110,Oil and Gas Extraction,Operating,1,OH,0,OSHA_ITA_2016
1,1944.0,522110,Oil and Gas Extraction,Operating,1,OH,0,OSHA_ITA_2016
10,18291.0,522110,Oil and Gas Extraction,Operating,1,OH,0,OSHA_ITA_2016
7,10918.0,522110,Oil and Gas Extraction,Operating,1,OH,0,OSHA_ITA_2016
7,10350.0,522110,Oil and Gas Extraction,Operating,1,OH,0,OSHA_ITA_2016
4,8578.0,522110,Oil and Gas Extraction,Operating,1,OH,0,OSHA_ITA_2016
4,6917.0,522110,Oil and Gas Extraction,Operating,1,OH,0,OSHA_ITA_2016
28,52970.0,524210,Oil and Gas Extraction,Operating,2,OH,0,OSHA_ITA_2016
5,10652.0,522110,Oil and Gas Extraction,Operating,1,OH,0,OSHA_ITA_2016
6,10442.0,522110,Oil and Gas Extraction,Operating,1,OH,0,OSHA_ITA_2016
8,15879.0,522110,Oil and Gas Extraction,Operating,1,OH,0,OSHA_ITA_2016
1,2080.0,522110,Oil and Gas Extraction,Operating,1,OH,0,OSHA_ITA_2016
2,3727.0,522110,Oil and Gas Extraction,Operating,1,WV,0,OSHA_ITA_2016
7,12900.0,522110,Oil and Gas Extraction,Operating,1,OH,0,OSHA_ITA_2016
4,6165.0,522110,Oil and Gas Extraction,Operating,1,OH,0,OSHA_ITA_2016
4,6713.0,522110,Oil and Gas Extraction,Operating,1,OH,0,OSHA_ITA_2016
8,15489.0,522110,Oil and Gas Extraction,Operating,1,OH,0,OSHA_ITA_2016
5,8755.0,522110,Oil and Gas Extraction,Operating,1,WV,0,OSHA_ITA_2016
4,8907.0,522110,Oil and Gas Extraction,Operating,1,WV,0,OSHA_ITA_2016
1,2295.0,522110,Oil and Gas Extraction,Operating,1,OH,0,OSHA_ITA_2016
3,3913.0,522110,Oil and Gas Extraction,Operating,1,OH,0,OSHA_ITA_2016
5,9773.0,522110,Oil and Gas Extraction,Operating,1,OH,0,OSHA_ITA_2016
1,2080.0,522110,Oil and Gas Extraction,Operating,1,OH,0,OSHA_ITA_2016
1,2080.0,522110,Oil and Gas Extraction,Operating,1,OH,0,OSHA_ITA_2016
4,5422.0,522110,Oil and Gas Extraction,Operating,1,OH,0,OSHA_ITA_2016
6,10012.0,522110,Oil and Gas Extraction,Operating,1,WV,0,OSHA_ITA_2016
12,21946.0,522110,Oil and Gas Extraction,Operating,1,KY,0,OSHA_ITA_2016
10,18932.0,522110,Oil and Gas Extraction,Operating,1,OH,0,OSHA_ITA_2016
10,22134.0,522110,Oil and Gas Extraction,Operating,1,WV,0,OSHA_ITA_2016
1,320.0,522110,Oil and Gas Extraction,Operating,1,WV,0,OSHA_ITA_2016
3,7411.0,522110,Oil and Gas Extraction,Operating,1,OH,0,OSHA_ITA_2016
17,32085.0,522110,Oil and Gas Extraction,Operating,1,KY,0,OSHA_ITA_2016
5,8530.0,522110,Oil and Gas Extraction,Operating,1,OH,0,OSHA_ITA_2016
4,6868.0,522110,Oil and Gas Extraction,Operating,1,OH,0,OSHA_ITA_2016
7,12964.0,522110,Oil and Gas Extraction,Operating,1,OH,0,OSHA_ITA_2016
5,9452.0,522110,Oil and Gas Extraction,Operating,1,OH,0,OSHA_ITA_2016
6,8226.0,522110,Oil and Gas Extraction,Operating,1,WV,0,OSHA_ITA_2016
7,13999.0,522110,Oil and Gas Extraction,Operating,1,WV,0,OSHA_ITA_2016
